Domain name,Domain type,Agency,Organization name,City,State,Security Contact Email
acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,,, 
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,, 
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,,, 
afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,,, 
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,,, 
osde.gov,Federal - Executive,Central Intelligence Agency,CIA\GCS OSEG,,, 
whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,, 
vistacampus.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
volunteeringinamerica.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
oversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,, 
pandemicoversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,, 
2020census.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
aviationweather.gov,Federal - Executive,Department of Commerce,National Weather Service,,, 
export.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
firstnet.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,,, 
fishwatch.gov,Federal - Executive,Department of Commerce,NOAA Fisheries,,, 
goes-r.gov,Federal - Executive,Department of Commerce,NASA GSFC,,, 
gps.gov,Federal - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,,, 
nehrp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
nist.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
noaa.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,, 
ntia.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,,, 
ntis.gov,Federal - Executive,Department of Commerce,National Technical Information Service,,, 
nwirp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
papahanaumokuakea.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,, 
xd.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
adlnet.gov,Federal - Executive,Department of Defense,Advanced Distributed Learning Initiative,,, 
aftac.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,,, 
fehrm.gov,Federal - Executive,Department of Defense,FEHRM,,, 
nrd.gov,Federal - Executive,Department of Defense,Office of Warrior Care Policy,,, 
nro.gov,Federal - Executive,Department of Defense,NRO,,, 
nsa.gov,Federal - Executive,Department of Defense,National Security Agency,,, 
nsep.gov,Federal - Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,,, 
fafsa.gov,Federal - Executive,Department of Education,Department of Education,,, 
fnal.gov,Federal - Executive,Department of Energy,Fermi National Accelerator Laboratory,,, 
hanford.gov,Federal - Executive,Department of Energy,Hanford Mission Integration Solutions,,, 
nersc.gov,Federal - Executive,Department of Energy,National Energy Research Scientific Computing Center,,, 
neup.gov,Federal - Executive,Department of Energy,Office of Nuclear Energy,,, 
nnss.gov,Federal - Executive,Department of Energy,"National Nuclear Security Administration, National Security Technologies, LLC",,, 
nrel.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,,, 
nrelhub.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,,, 
ntrc.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
nuclear.gov,Federal - Executive,Department of Energy,Department of Energy,,, 
orau.gov,Federal - Executive,Department of Energy,ORAU,,, 
ornl.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
osti.gov,Federal - Executive,Department of Energy,OSTI,,, 
pnl.gov,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,,, 
pnnl.gov,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,,, 
wapa.gov,Federal - Executive,Department of Energy,Western Area Power Administration,,, 
ymp.gov,Federal - Executive,Department of Energy,Office of Legacy Management,,, 
acf.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
acl.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
afterschool.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",,, 
aging.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
agingstats.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
ahcpr.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
ahrq.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
aids.gov,Federal - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",,, 
bam.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
everytrycounts.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,,, 
fatherhood.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
fda.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,,, 
findtreatment.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,,, 
fitness.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
flu.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
foodsafety.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
globalhealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Global Affairs, Office of the Secretary",,, 
grants.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",,, 
grantsolutions.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
guideline.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
guidelines.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
nih.gov,Federal - Executive,Department of Health and Human Services,National Institutes of Health,,, 
niosh.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
nlm.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",,, 
nnlm.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",,, 
organdonor.gov,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,,, 
pandemicflu.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
whaging.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
whitehouseconferenceonaging.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
womenshealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",,, 
youth.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",,, 
everify.gov,Federal - Executive,Department of Homeland Security,USCIS,,, 
evus.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,,, 
fema.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,,, 
firstrespondertraining.gov,Federal - Executive,Department of Homeland Security,Office for Domestic Preparedness,,, 
fleta.gov,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,,, 
fletc.gov,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,,, 
floodsmart.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,,, 
globalentry.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,,, 
nic.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,, 
niem.gov,Federal - Executive,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",,, 
nmsc.gov,Federal - Executive,Department of Homeland Security,National Marine Center,,, 
fha.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,,, 
nhl.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,,, 
nls.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,,, 
opportunityzones.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,,, 
ada.gov,Federal - Executive,Department of Justice,Civil Rights Division,,, 
fara.gov,Federal - Executive,Department of Justice,"U.S. Department of Justice, National Security Division",,, 
fbi.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,,, 
fbihr.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,,, 
fbijobs.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,,, 
firstfreedom.gov,Federal - Executive,Department of Justice,Department of Justice,,, 
foia.gov,Federal - Executive,Department of Justice,"Department of Justice, Office of e-Government",,, 
forfeiture.gov,Federal - Executive,Department of Justice,"Criminal Division, Asset Forfeiture and Money Laundering Section (AFMLS)",,, 
fpi.gov,Federal - Executive,Department of Justice,Federal Prison Industries,,, 
nicic.gov,Federal - Executive,Department of Justice,"Department of Justice, National Institute of Corrections",,, 
nicsezcheckfbi.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,,, 
nij.gov,Federal - Executive,Department of Justice,Office of Justice Programs ,,, 
nmvtis.gov,Federal - Executive,Department of Justice,Office of Justice Programs,,, 
nsopr.gov,Federal - Executive,Department of Justice,Office of Justice Programs,,, 
nsopw.gov,Federal - Executive,Department of Justice,Office of Justice Programs,,, 
nvtc.gov,Federal - Executive,Department of Justice,National Virtual Translation Center,,, 
ovc.gov,Federal - Executive,Department of Justice,Office of Justice Programs,,, 
ovcttac.gov,Federal - Executive,Department of Justice,Office of Justice Programs,,, 
govloans.gov,Federal - Executive,Department of Labor,Office of the Chief Information Officer,,, 
osha.gov,Federal - Executive,Department of Labor,Office of the Chief Information Officer,,, 
whistleblowers.gov,Federal - Executive,Department of Labor,Office of the Chief Information Officer,,, 
worker.gov,Federal - Executive,Department of Labor,Office of the Chief Information Officer,,, 
wrp.gov,Federal - Executive,Department of Labor,Office of the Chief Information Officer,,, 
youthrules.gov,Federal - Executive,Department of Labor,Office of the Chief Information Officer,,, 
fan.gov,Federal - Executive,Department of State,Bureau of Information Resources Management (IRM),,, 
osac.gov,Federal - Executive,Department of State,Bureau of Diplomatic Security (DS),,, 
acwi.gov,Federal - Executive,Department of the Interior,Advisory Committee on Water Information,,, 
evergladesrestoration.gov,Federal - Executive,Department of the Interior,Department of the Interior,,, 
everykidoutdoors.gov,Federal - Executive,Department of the Interior,National Park Service,,, 
fcg.gov,Federal - Executive,Department of the Interior,Interior Business Center,,, 
fgdc.gov,Federal - Executive,Department of the Interior,U.S. Geological Survey,,, 
firecode.gov,Federal - Executive,Department of the Interior,Bureau of Land Management,,, 
fireleadership.gov,Federal - Executive,Department of the Interior,Department of the Interior,,, 
firenet.gov,Federal - Executive,Department of the Interior,National Wildfire Coordinating Group,,, 
firescience.gov,Federal - Executive,Department of the Interior,Joint Fire Science Program,,, 
nemi.gov,Federal - Executive,Department of the Interior,U.S. Geological Survey,,, 
nfpors.gov,Federal - Executive,Department of the Interior,National Fire Plan Operations & Reporting System,,, 
nifc.gov,Federal - Executive,Department of the Interior,National Interagency Fire Center,,, 
nps.gov,Federal - Executive,Department of the Interior,National Park Service,,, 
osm.gov,Federal - Executive,Department of the Interior,Office of Surface Mining,,, 
osmre.gov,Federal - Executive,Department of the Interior,Office of Surface Mining,,, 
volcano.gov,Federal - Executive,Department of the Interior,US Geological Survey/Volcano Science Center,,, 
volunteer.gov,Federal - Executive,Department of the Interior,National Park Service,,, 
wlci.gov,Federal - Executive,Department of the Interior,U.S. Geological Survey,,, 
ayudaconmibanco.gov,Federal - Executive,Department of the Treasury,Comptroller of the Currency,,, 
bankanswers.gov,Federal - Executive,Department of the Treasury,Comptroller of the Currency,,, 
bankcustomerassistance.gov,Federal - Executive,Department of the Treasury,Comptroller of the Currency,,, 
bankcustomer.gov,Federal - Executive,Department of the Treasury,Comptroller of the Currency,,, 
bankhelp.gov,Federal - Executive,Department of the Treasury,Comptroller of the Currency,,, 
banknet.gov,Federal - Executive,Department of the Treasury,Comptroller of the Currency,,, 
eta-find.gov,Federal - Executive,Department of the Treasury,Department of the Treasury - FMS,,, 
ethicsburg.gov,Federal - Executive,Department of the Treasury,Bureau of the Public Debt,,, 
eyenote.gov,Federal - Executive,Department of the Treasury,Bureau of Engraving and Printing,,, 
federalinvestments.gov,Federal - Executive,Department of the Treasury,Bureau of the Public Debt,,, 
federalspending.gov,Federal - Executive,Department of the Treasury,Bureau of the Fiscal Service,,, 
fedinvest.gov,Federal - Executive,Department of the Treasury,Bureau of the Public Debt,,, 
ffb.gov,Federal - Executive,Department of the Treasury,Departmental Offices ,,, 
financialresearch.gov,Federal - Executive,Department of the Treasury,Office of Financial Research (OFR),,, 
financialstability.gov,Federal - Executive,Department of the Treasury,Department of the Treasury - DO,,, 
fincen.gov,Federal - Executive,Department of the Treasury,Department of the Treasury - FINCEN,,, 
godirect.gov,Federal - Executive,Department of the Treasury,Department of the Treasury - FMS,,, 
ots.gov,Federal - Executive,Department of the Treasury,Comptroller of the Currency,,, 
patriotbonds.gov,Federal - Executive,Department of the Treasury,Bureau of the Public Debt,,, 
pay.gov,Federal - Executive,Department of the Treasury,Department of the Treasury - FMS,,, 
wizard.gov,Federal - Executive,Department of the Treasury,Bureau of the Public Debt,,, 
workplace.gov,Federal - Executive,Department of the Treasury,Treasury PMO,,, 
911.gov,Federal - Executive,Department of Transportation,National Highway Traffic Safety Administration,,, 
faa.gov,Federal - Executive,Department of Transportation,Federal Aviation Administration,,, 
faasafety.gov,Federal - Executive,Department of Transportation,FAASTeam,,, 
flyhealthy.gov,Federal - Executive,Department of Transportation,Federal Aviation Administration,,, 
nhtsa.gov,Federal - Executive,Department of Transportation,National Highway Traffic Safety Administration,,, 
famep.gov,Federal - Executive,Director of National Intelligence,Office of the Director of National Intelligence,,, 
osis.gov,Federal - Executive,Director of National Intelligence,Office of Director of National Intelligence - CIO (ICES),,, 
votebymail.gov,Federal - Executive,Election Assistance Commission,Election Assistance Commission,,, 
airnow.gov,Federal - Executive,Environmental Protection Agency,Environmental Protection Agency,,, 
fedcenter.gov,Federal - Executive,Environmental Protection Agency,Environmental Protection Agency,,, 
foiaonline.gov,Federal - Executive,Environmental Protection Agency,Environmental Protection Agency,,, 
glnpo.gov,Federal - Executive,Environmental Protection Agency,"US EPA, Great Lakes National Program Office",,, 
greengov.gov,Federal - Executive,Environmental Protection Agency,Office of Federal Sustainability,,, 
ai.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,,, 
nepa.gov,Federal - Executive,Executive Office of the President,Council on Environmental Quality,,, 
ostp.gov,Federal - Executive,Executive Office of the President,Office of Science and Technology Policy - White House,,, 
pci.gov,Federal - Executive,Executive Office of the President,Presidential Community of Interest,,, 
pitc.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,,, 
wh.gov,Federal - Executive,Executive Office of the President,Office of Administration,,, 
whitehousedrugpolicy.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,,, 
whitehouse.gov,Federal - Executive,Executive Office of the President,White House,,, 
exim.gov,Federal - Executive,Export/Import Bank of the U.S.,Export-Import Bank of the United States,,, 
fca.gov,Federal - Executive,Farm Credit Administration,Office of Information Technology,,, 
fcsic.gov,Federal - Executive,Farm Credit Administration,Farm Credit System Insurance Corporation,,, 
fcc.gov,Federal - Executive,Federal Communications Commission,Federal Communications Commission,,, 
fdicconnect.gov,Federal - Executive,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,,, 
fdic.gov,Federal - Executive,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,,, 
fdicig.gov,Federal - Executive,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,,, 
fdicoig.gov,Federal - Executive,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,,, 
fdicseguro.gov,Federal - Executive,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,,, 
fec.gov,Federal - Executive,Federal Election Commission,Federal Election Commission,,, 
ferc.gov,Federal - Executive,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,, 
fhfa.gov,Federal - Executive,Federal Housing Finance Agency,Federal Housing Finance Agency,,, 
fhfaoig.gov,Federal - Executive,Federal Housing Finance Agency,Federal Housing Finance Agency Office of Inspector General ,,, 
flra.gov,Federal - Executive,Federal Labor Relations Authority,Federal Labor Relations Authority,,, 
fmc.gov,Federal - Executive,Federal Maritime Commission,Federal Maritime Commission,,, 
adr.gov,Federal - Executive,Federal Mediation and Conciliation Service,Office of Conflict Management and Prevention,,, 
fmcs.gov,Federal - Executive,Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,,, 
fmshrc.gov,Federal - Executive,Federal Mine Safety and Health Review Commission,Federal Mine Safety & Health Review Commission,,, 
fbiic.gov,Federal - Executive,Federal Reserve Board of Governors,The Financial and Banking Information Infrastructure Committee,,, 
federalreserveconsumerhelp.gov,Federal - Executive,Federal Reserve Board of Governors,Board of Governors of the Federal Reserve,,, 
federalreserve.gov,Federal - Executive,Federal Reserve Board of Governors,Federal Reserve Bank,,, 
fedpartnership.gov,Federal - Executive,Federal Reserve Board of Governors,Federal Reserve Board of Governors,,, 
